datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2018-11-30 00:00:00.000000,172.29000000000005,105.48700000000004,102.15,995.15,252.2,22.0,311.0,48.400000000000006
2018-12-31 00:00:00.000000,147.71000000000004,113.02400000000011,84.75,1213.95,254.0,27.0,354.0,53.1
2019-01-31 00:00:00.000000,179.70000000000007,114.97650000000004,99.7,1660.6120000000012,295.2,23.0,159.5,41.3
2019-02-28 00:00:00.000000,133.73000000000002,142.15500000000014,110.19999999999996,1001.2120000000004,249.4,12.0,226.0,69.5
2019-03-31 00:00:00.000000,154.52000000000004,113.11800000000004,83.35000000000001,941.05,301.4,19.0,257.0,169.49999999999997
2019-04-30 00:00:00.000000,161.39000000000004,100.16500000000003,88.1,647.6500000000002,299.4,22.0,219.0,179.10000000000002
2019-05-31 00:00:00.000000,168.04000000000005,97.25800000000004,104.1,703.5620000000001,265.79999999999995,26.0,298.29166667,135.4
2019-06-30 00:00:00.000000,151.5400000000001,101.62700000000004,103.2,609.9999999999999,193.0,25.0,142.0,156.04
2019-07-31 00:00:00.000000,181.0,103.54100000000004,92.8,649.8,250.6,20.0,115.0,105.2
2019-08-31 00:00:00.000000,181.91000000000008,88.26900000000003,84.19999999999999,518.0999999999999,237.0,26.0,145.0,97.3
2019-09-30 00:00:00.000000,161.07000000000005,111.43700000000008,93.5,984.48,227.8,16.0,121.416666667,109.1
2019-10-31 00:00:00.000000,155.06500000000003,114.97650000000004,117.225,295.15000000000003,250.3,7.0,37.0,11.13
2025-08-26 01:56:09.001904,577.0,6801.0,4.0,122.0,301.0,1376.0,174.0,0.0
