datum,M01AB_monthly,M01AE_monthly,N02BA_monthly,N02BE_monthly,N05B_monthly,N05C_monthly,R03_monthly,R06_monthly,M01AB_from_daily,M01AE_from_daily,N02BA_from_daily,N02BE_from_daily,N05B_from_daily,N05C_from_daily,R03_from_daily,R06_from_daily
2015-05-31,160.02,119.11700000000006,136.04,765.9000000000001,194.0,10.0,100.0,159.5,160.02,119.117,136.04,765.9,194.0,10.0,100.0,159.5
2015-06-30,151.87000000000003,113.69,145.46,746.788,217.0,12.0,193.0,125.79999999999998,151.87,113.69,145.46,715.413,217.0,12.0,193.0,125.8
2015-07-31,175.61000000000004,113.81000000000002,125.5,708.8280000000001,203.0,6.0,60.0,130.3,175.60999999999999,113.81,125.5,708.828,203.0,6.0,60.0,130.3
2015-08-31,181.69000000000003,144.51900000000003,133.4,790.788,265.5,15.0,45.0,83.7,181.69,144.519,133.4,790.788,265.5,15.0,45.0,83.7
2015-09-30,166.22000000000008,134.12200000000004,110.4,852.125,243.5,11.0,91.0,71.0,166.22,134.122,110.4,852.125,243.5,11.0,91.0,71.0
2015-10-31,195.81000000000017,127.23099999999998,146.20000000000002,1574.3350000000007,222.0,8.0,184.0,72.0,195.81,127.231,146.2,1574.335,222.0,8.0,184.0,72.0
2015-11-30,152.78000000000006,128.233,145.90000000000003,1277.725,228.0,18.0,195.0,44.0,142.78,128.233,145.9,1234.975,228.0,18.0,165.0,44.0
2015-12-31,159.46000000000004,131.29100000000005,136.99999999999997,1258.3490000000002,286.0,28.0,231.0,41.73,159.46,131.291,137.0,1258.349,286.0,28.0,231.0,41.73
2016-01-31,171.65000000000006,128.402,172.49999999999997,1476.3240000000003,248.0,24.0,174.0,56.5,171.65,128.40200000000002,172.5,1476.324,248.0,24.0,174.0,56.5
2016-02-29,173.81000000000003,137.528,134.20000000000002,1224.8620000000003,239.0,20.0,245.0,58.0,173.81,137.528,134.2,1224.862,239.0,20.0,245.0,58.0
2016-03-31,156.64000000000004,180.5890000000001,148.4,1150.7000000000005,250.0,13.0,253.0,97.84,156.64,165.589,148.4,1150.7,250.0,13.0,253.0,97.84
2016-04-30,166.6100000000001,146.52600000000007,147.7,998.3370000000004,318.0,18.0,216.0,162.39999999999998,166.61,146.526,147.7,998.337,292.0,18.0,216.0,162.4
2016-05-31,167.36000000000007,120.86099999999996,130.54999999999995,997.1500000000004,275.0,18.0,131.0,137.10000000000002,167.36,120.861,130.55,997.15,255.0,18.0,131.0,137.1
2016-06-30,169.67000000000002,114.961,117.75,760.05,311.0,20.0,127.0,134.8,169.67,114.961,117.75,760.05,280.5,20.0,127.0,134.8
2016-07-31,203.97000000000017,141.01900000000003,137.89999999999998,652.3619999999999,240.0,8.0,109.0,116.83,194.528333333,141.019,137.9,652.362,240.0,8.0,109.0,116.83
2016-08-31,211.13000000000017,114.37499999999996,132.7,753.0500000000002,275.5,12.0,116.0,85.3,211.13,114.375,132.7,686.38333334,275.5,12.0,116.0,85.3
2016-09-30,172.96000000000004,126.21799999999996,116.7,1118.699,307.0,18.0,121.0,69.3,172.96,126.218,116.7,1118.699,307.0,18.0,121.0,69.3
2016-10-31,186.7600000000001,142.0560000000001,160.15,1617.275000000001,312.0,11.0,220.0,60.9,186.76,142.056,160.15,1583.69166667,290.83333333,11.0,220.0,60.9
2016-11-30,175.18000000000012,116.84999999999997,133.85000000000002,1062.6860000000004,246.0,27.0,150.0,51.2,166.846666667,116.85,133.85,1062.686,234.16666667,27.0,150.0,51.2
2016-12-31,169.32000000000002,135.05600000000004,132.39999999999998,1624.3350000000005,257.0,18.0,275.0,34.9,169.32,135.056,122.816666667,1624.335,226.33333333,18.0,275.0,34.9
2017-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,181.902083334,150.991249999,191.27083333299998,1439.36,443.749999984,34.166666666,196.406250002,61.750000001000004
2017-02-28,139.69000000000003,103.517,97.0,526.3500000000001,144.0,7.0,117.0,30.6,159.99,125.339083334,122.875000001,670.87583333,178.791666657,11.166666667,140.33333333299998,38.099999999
2017-03-31,162.85000000000002,111.055,107.35,612.5000000000002,165.0,9.0,139.0,100.1,162.85,111.055,107.35,612.5,165.0,9.0,109.0,100.1
2017-04-30,155.61000000000004,101.21500000000002,100.5,540.1999999999998,132.0,9.0,209.0,122.4,155.61,101.215,100.5,540.2,132.0,9.0,180.875,122.4
2017-05-31,143.66,118.12500000000006,98.95,547.9399999999998,148.0,23.0,128.0,161.81,143.66,118.125,98.95,547.9399999999999,148.0,23.0,128.0,161.81
2017-06-30,122.33,103.006,119.6,496.1,163.0,8.0,163.0,151.89999999999998,122.33,103.006,99.6,496.1,163.0,8.0,163.0,151.9
2017-07-31,159.67,116.20600000000005,75.19999999999999,479.35,219.0,15.0,115.0,81.1,150.295,116.206,75.2,479.35,219.0,15.0,115.0,81.1
2017-08-31,170.14999999999998,112.47,84.4,549.3,239.0,12.0,75.0,60.1,170.15,112.47,84.39999999999999,549.3,239.0,12.0,75.0,60.1
2017-09-30,138.33,118.71100000000004,88.14999999999998,863.7500000000002,223.0,23.0,139.0,66.9,138.33,118.711,88.15,863.75,223.0,23.0,139.0,66.9
2017-10-31,137.64,88.737,100.4,1184.3500000000004,226.0,15.0,247.0,51.0,137.64,88.737,100.4,1184.35,226.0,15.0,247.0,51.0
2017-11-30,163.85000000000005,119.78000000000004,104.45,867.8990000000001,192.0,15.0,196.0,46.599999999999994,163.85,119.78,104.45,867.899,192.0,15.0,196.0,46.6
2017-12-31,160.01000000000002,121.66300000000004,115.15,1007.18,226.0,6.0,204.0,47.1,160.01,121.663,115.15,1007.1800000000001,226.0,6.0,204.0,47.1
2018-01-31,132.28,109.44599999999998,101.15,1134.325,229.0,11.0,219.0,49.5,132.28,109.446,101.15,1134.325,229.0,11.0,219.0,49.5
2018-02-28,128.36,132.80400000000014,114.65000000000002,1255.3740000000007,268.0,12.0,253.0,39.06,128.36,132.804,114.65,1255.374,268.0,12.0,224.25,39.06
2018-03-31,146.16,111.764,122.3,999.1230000000004,381.0,42.0,269.0,85.5,146.16,111.764,122.3,999.123,381.0,42.0,269.0,85.5
2018-04-30,170.02000000000007,107.723,84.60000000000001,836.0369999999999,289.0,21.0,229.0,197.1,170.02,107.723,84.6,803.287,289.0,14.0,229.0,197.1
2018-05-31,160.52000000000004,103.522,89.39999999999999,644.6480000000004,259.0,13.0,192.0,213.04,160.52,103.522,89.4,644.648,259.0,13.0,167.0,213.04
2018-06-30,141.18,114.22600000000004,86.80000000000001,584.343,248.0,18.0,101.0,120.8,141.18,114.226,86.8,584.343,248.0,18.0,101.0,120.8
2018-07-31,150.18,132.54900000000006,87.2,679.3499999999999,283.0,19.0,90.0,122.2,150.18,132.549,87.2,679.35,283.0,19.0,90.0,122.2
2018-08-31,140.00000000000003,114.71900000000004,88.25,733.838,253.0,20.0,159.0,103.1,140.0,114.719,88.25,733.838,253.0,20.0,159.0,103.1
2018-09-30,153.52,114.99200000000008,86.5,1058.2620000000002,263.0,12.0,205.0,88.10000000000001,153.52,114.99199999999999,86.5,1058.262,263.0,12.0,205.0,88.1
2018-10-31,144.71000000000004,129.4000000000001,76.05000000000001,1129.275,287.0,25.0,353.0,76.9,144.71,129.4,76.05,1129.275,287.0,25.0,327.0,76.9
2018-11-30,172.29000000000005,105.48700000000004,102.15,995.15,252.2,22.0,311.0,48.400000000000006,172.29,105.487,102.15,995.15,252.2,22.0,311.0,48.4
2018-12-31,147.71000000000004,113.02400000000011,84.75,1213.95,254.0,27.0,384.0,53.099999999999994,147.71,113.024,84.75,1213.95,254.0,27.0,354.0,53.1
2019-01-31,179.70000000000007,222.35100000000017,99.7,1660.6120000000012,295.2,23.0,386.0,41.3,179.7,189.646,99.7,1660.612,295.2,23.0,386.0,41.3
2019-02-28,133.73000000000002,142.15500000000014,110.19999999999996,1001.2120000000004,249.4,12.0,226.0,69.5,133.73,142.155,110.2,1001.212,249.4,12.0,226.0,69.5
2019-03-31,154.52000000000004,113.11800000000004,83.35000000000001,941.05,301.4,19.0,257.0,169.49999999999997,154.52,113.118,83.35,941.0500000000001,301.4,19.0,257.0,169.5
2019-04-30,161.39000000000004,100.16500000000003,88.1,647.6500000000002,299.4,22.0,259.0,179.10000000000002,161.39,100.16499999999999,88.1,647.65,299.4,22.0,219.0,179.1
2019-05-31,168.04000000000005,97.25800000000004,104.1,703.5620000000001,265.79999999999995,26.0,322.0,135.4,168.04,97.258,104.1,703.562,265.8,26.0,298.29166667,135.4
2019-06-30,151.5400000000001,101.62700000000004,103.2,609.9999999999999,193.0,25.0,142.0,156.04,151.54,101.627,103.2,610.0,193.0,25.0,142.0,156.04
2019-07-31,181.0,103.54100000000004,92.8,649.8,250.6,20.0,115.0,105.2,181.0,103.541,92.8,620.675,250.6,20.0,115.0,105.2
2019-08-31,181.91000000000008,88.26900000000003,84.19999999999999,518.0999999999999,237.0,26.0,145.0,97.3,181.91,88.269,84.2,518.1,237.0,26.0,145.0,97.3
2019-09-30,161.07000000000005,111.43700000000008,93.5,984.48,227.8,16.0,161.0,109.1,161.07,111.437,93.5,984.48,227.8,16.0,121.416666667,109.1
2019-10-31,44.370000000000005,37.3,20.65,295.15000000000003,86.0,7.0,37.0,11.13,44.37,37.3,20.65,295.15,86.0,7.0,37.0,11.129999999999999
