datum,M01AB_daily,M01AE_daily,N02BA_daily,N02BE_daily,N05B_daily,N05C_daily,R03_daily,R06_daily,M01AB_from_hourly,M01AE_from_hourly,N02BA_from_hourly,N02BE_from_hourly,N05B_from_hourly,N05C_from_hourly,R03_from_hourly,R06_from_hourly
2014-02-20,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0
2014-02-21,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0
2014-02-22,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0
2014-02-23,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0
2014-02-24,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0
2014-02-25,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,5.0,1.6800000000000002,11.2,34.5,13.0,0.0,0.0,2.0
2014-02-26,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0
2014-02-27,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0
2014-02-28,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0
2014-03-01,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1
2014-03-02,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0
2014-03-03,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,4.0,3.68,1.5999999999999999,22.1,1.0,2.0,0.0,2.2
2014-03-04,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,5.34,7.0200000000000005,7.2,47.275,9.0,0.0,5.0,4.0
2014-03-05,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0
2014-03-06,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0
2014-03-07,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0
2014-03-08,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,4.34,3.0700000000000003,1.0,27.6,11.0,0.0,0.0,0.0
2014-03-09,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0
2014-03-10,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0
2014-03-11,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0
2014-03-12,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0
2014-03-13,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0
2014-03-14,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,4.34,1.6800000000000002,1.2,16.0,11.0,0.0,1.0,2.0
2014-03-15,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0
2014-03-16,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0
2014-03-17,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0
2014-03-18,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0
2014-03-19,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0
2014-03-20,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,3.0,5.34,1.5999999999999999,38.2,5.0,0.0,7.0,4.2
2014-03-21,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0
2014-03-22,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4
2014-03-23,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0
2014-03-24,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5
2014-03-25,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0
2014-03-26,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2.34,3.99,9.0,6.699999999999999,7.0,3.0,3.0,0.0
2014-03-27,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0
2014-03-28,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0
2014-03-29,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0
2014-03-30,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0
2014-03-31,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0
2014-04-01,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0
2014-04-02,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0
2014-04-03,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0
2014-04-04,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0
2014-04-05,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0
2014-04-06,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0
2014-04-07,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0
2014-04-08,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7
2014-04-09,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6
2014-04-10,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,3.33,1.6800000000000002,1.0,18.0,10.0,0.0,4.0,4.0
2014-04-11,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0
2014-04-12,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,7.0200000000000005,3.34,6.0,23.5,19.0,0.0,11.0,4.0
2014-04-13,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0
2014-04-14,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0
2014-04-15,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0
2014-04-16,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0
2014-04-17,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0
2014-04-18,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0
2014-04-19,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0
2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-21,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,1.34,1.6800000000000002,2.1,13.5,8.0,0.0,0.0,1.0
2014-04-22,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0
2014-04-23,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0
2014-04-24,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0
2014-04-25,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0
2014-04-26,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0
2014-04-27,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0
2014-04-28,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,1.34,3.0900000000000003,3.0,29.1,8.0,2.0,0.0,2.0
2014-04-29,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,3.33,4.0200000000000005,4.4,30.3,6.0,1.0,5.0,0.4
2014-04-30,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-02,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0
2014-05-03,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5
2014-05-04,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,1.6700000000000002,4.6899999999999995,1.2,20.0,3.0,0.0,0.0,3.0
2014-05-05,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0
2014-05-06,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0
2014-05-07,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0
2014-05-08,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0
2014-05-09,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0
2014-05-10,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0
2014-05-11,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2.0,2.6799999999999997,1.0,17.0,7.0,0.0,1.0,4.0
2014-05-12,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0
2014-05-13,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,3.6799999999999997,0.34,6.2,32.0,7.0,0.0,25.0,7.5
2014-05-14,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,1.0,4.0200000000000005,6.0,24.3,4.0,0.0,0.0,3.0
2014-05-15,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0
2014-05-16,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0
2014-05-17,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0
2014-05-18,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0
2014-05-19,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0
2014-05-20,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6
2014-05-21,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0
2014-05-22,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0
2014-05-23,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0
2014-05-24,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0
2014-05-25,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0
2014-05-26,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0
2014-05-27,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0
2014-05-28,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,1.34,5.0200000000000005,1.4,10.280000000000001,9.0,0.0,2.0,5.1
2014-05-29,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0
2014-05-30,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0
2014-05-31,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0
2014-06-01,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0
2014-06-02,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0
2014-06-03,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0
2014-06-04,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5
2014-06-05,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0
2014-06-06,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,5.0,1.6800000000000002,3.0,16.625,15.0,2.0,1.0,5.0
2014-06-07,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0
2014-06-08,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0
2014-06-09,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0
2014-06-10,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5
2014-06-11,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0
2014-06-12,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0
2014-06-13,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0
2014-06-14,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0
2014-06-15,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3
2014-06-16,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0
2014-06-17,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0
2014-06-18,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0
2014-06-19,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0
2014-06-20,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0
2014-06-21,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0
2014-06-22,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0
2014-06-23,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0
2014-06-24,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,3.0,5.140000000000001,4.0,16.2,23.0,0.0,2.0,4.0
2014-06-25,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0
2014-06-26,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0
2014-06-27,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0
2014-06-28,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0
2014-06-29,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0
2014-06-30,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0
2014-07-01,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0
2014-07-02,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0
2014-07-03,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0
2014-07-04,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0
2014-07-05,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0
2014-07-06,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0
2014-07-07,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0
2014-07-08,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0
2014-07-09,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2
2014-07-10,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0
2014-07-11,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2.0,1.6800000000000002,3.2,16.5,17.0,0.0,5.0,1.0
